Month,Contribution,Amount won by the bidder,Chit fund organizer commission,Net amount recd by Bid winner,Amount returned to everyone in the group
1,2000,40000,2500,37500,400
2,2000,42000,2500,39500,320
3,2000,45000,2500,42500,200
4,2000,48000,2500,45500,80
5,2000,40000,2500,37500,400
6,2000,42000,2500,39500,320
7,2000,43000,2500,40500,280
8,2000,44000,2500,41500,240
9,2000,40000,2500,37500,400
10,2000,42000,2500,39500,320
11,2000,45000,2500,42500,200
12,2000,48000,2500,45500,80
13,2000,40000,2500,37500,400
14,2000,42000,2500,39500,320
15,2000,43000,2500,40500,280
16,2000,43000,2500,40500,280
17,2000,41000,2500,38500,360
18,2000,42000,2500,39500,320
19,2000,45000,2500,42500,200
20,2000,45000,2500,42500,200
21,2000,44000,2500,41500,240
22,2000,46000,2500,43500,160
23,2000,47000,2500,44500,120
24,2000,48000,2500,45500,80
25,2000,50000,2500,47500,0
